arrival_time,amplitude,icloud,distance,station,station_y,station_x,Max_disp_10_49_Z,CF_1_49_Z,CF_vel_1_49_Z,polarity,trig_on,trig_off
2016-08-10 22:02:56.903628+00:00,36.46,False,5832.33,A366A,47.8333,10.6234,1.50858896328e-08,11.791907895,32.7315535957,Positive,4233,5412
2017-06-25 10:11:28.188455+00:00,-3.29,False,5840.66,A029A,47.4301,13.7611,6.47410156079e-09,38.1156637782,43.9604560696,Negative,3855,5806
2016-07-11 23:31:08.111333+00:00,23.28,False,5854.8,A029A,47.4301,13.7611,7.35125539538e-08,34.1640771595,36.142849208,Positive,4072,4834
2016-06-11 14:19:16.720815+00:00,2.76,True,5855.53,A365A,48.1651,10.7334,3.85426603962e-09,4.93961612358,20.0242807446,Positive,4302,5565
2020-08-22 18:02:57.580417+00:00,-2.16,True,5872.15,A011B,47.4086,15.9587,4.45534400323e-09,35.3947693824,41.4794128366,Negative,4362,5378
2017-03-17 17:40:07.519514+00:00,115.69,False,5875.31,A022A,48.6348,14.7326,2.85376741275e-08,32.5767028907,39.479468829,Positive,3474,4809
2016-05-23 16:06:52.440221+00:00,2.45,True,5879.38,A017A,47.948,14.7589,1.10552171317e-08,34.359908428,44.1161443563,Positive,3908,5865
2017-05-15 14:35:32.329551+00:00,-13.05,False,5879.78,A024B,48.1002,14.1399,1.36152550776e-08,9.9586358438,29.6331977706,Negative,4392,5140
2016-06-18 17:16:15.000119+00:00,-11.32,False,5895.42,A019A,47.4457,15.0856,7.07046921422e-08,34.3130209702,44.297975149,Negative,3990,5350
2016-04-13 15:09:08.949535+00:00,83.28,False,5912.66,MGS04,47.9797,11.7188,9.06700224137e-08,14.8050323772,35.9442430214,Positive,7484,9260
2017-07-30 16:33:05.552654+00:00,5.77,True,5917.89,A369A,49.116,11.0216,6.49881642362e-09,12.1574010262,21.6899981189,Positive,4685,5359
2016-08-09 02:33:30.241672+00:00,-18.13,True,5960.83,A022A,48.6348,14.7326,2.67888232559e-08,29.5492105988,36.2453046603,Negative,3946,5412
2017-08-03 18:21:22.319682+00:00,4.51,True,5995.9,A033A,47.4797,13.126,1.63998385615e-08,18.1744180309,39.2413413557,Positive,4451,5765
2016-05-28 14:06:30.158630+00:00,3.91,True,6000.41,A025A,47.5207,14.4165,1.47423497234e-08,15.3673379662,34.4654601576,Positive,4070,5716
2016-07-25 01:17:55.953549+00:00,11.84,True,6001.97,A010A,47.0733,16.0793,2.00673356763e-08,12.0945159786,40.7191474723,Positive,3968,5980
2016-08-10 10:53:57.569798+00:00,27.82,False,6021.39,A263A,46.6408,17.3149,6.58145951969e-08,6.80545479903,19.1463958043,Positive,4001,5264
2016-06-30 16:41:20.335903+00:00,-11.72,True,6027.77,A364A,48.5019,11.4534,2.96910489663e-08,5.77249226701,14.1042524978,Negative,4690,5047
2017-08-02 02:23:20.887496+00:00,5.48,True,6027.85,A148B,48.5086,12.4767,8.80481184814e-09,5.02547669976,19.5685809028,Positive,3853,5515
2016-05-19 10:36:17.914362+00:00,-3.42,False,6037.08,A028A,47.103,13.9958,1.47533610932e-08,20.0490591097,34.7177487689,Negative,3457,5091
2017-10-27 07:17:53.330679+00:00,-15.79,True,6046.57,A141A,47.7528,11.849,4.99799105598e-09,12.5412855354,27.320996914,Negative,3739,5135
2016-06-03 11:39:21.524146+00:00,-4.41,True,6049.96,A021A,46.7566,15.8253,1.78593762373e-08,14.531384087,31.4928995222,Negative,4078,5304
2019-08-02 13:04:55.056241+00:00,2.65,True,6051.06,A033A,47.4797,13.126,1.08163837317e-08,13.1118054828,25.4804435886,Positive,3811,5296
2019-06-15 12:42:13.899466+00:00,-5.24,False,6119.93,A033A,47.4797,13.126,1.39270457456e-08,15.5559400822,23.9956406195,Negative,4347,5350
2016-05-30 17:06:57.029186+00:00,-5.39,True,6131.23,A022A,48.6348,14.7326,1.3784613235e-08,32.4238240359,37.1234317141,Negative,4103,5548
2016-06-01 15:15:03.287642+00:00,-4.84,False,6148.54,MGS04,47.9797,11.7188,6.72730476075e-09,3.90155423647,17.0580661996,Negative,8169,10018
2016-06-04 11:03:50.715954+00:00,-5.05,False,6169.09,A028A,47.103,13.9958,5.79224829322e-08,19.2023894942,32.7760292172,Negative,3143,4960
2017-05-31 13:25:18.245473+00:00,3.36,True,6175.95,A022A,48.6348,14.7326,4.08266912336e-09,27.4090549618,38.0658698455,Positive,4334,5169
2016-07-11 16:14:40.457204+00:00,4.45,True,6204.14,A029A,47.4301,13.7611,2.55916886533e-09,18.6844812836,36.1267989596,Positive,4767,6806
2017-06-26 23:58:14.803111+00:00,4.92,True,6211.22,A119A,49.0071,10.0384,1.01167914841e-08,6.22247249495,15.9945827594,Positive,4437,5010
2017-06-30 15:13:17.712440+00:00,36.41,False,6219.65,A140A,47.5523,11.4361,5.95780862871e-08,25.0056770828,34.0793430061,Positive,3926,5236
2017-06-26 21:56:51.525395+00:00,6.91,True,6232.78,A145A,47.8673,12.396,9.45692630119e-09,9.63567290053,17.0414259633,Positive,3900,6097
2016-06-04 11:49:38.345858+00:00,10.47,False,6248.25,A360A,48.7289,10.2971,1.24347742367e-08,22.3978200888,28.3120420974,Positive,3811,4984
2020-07-23 15:07:44.993596+00:00,-3.86,True,6296.27,A008A,48.3687,15.6522,1.20377040727e-08,22.4494239034,40.3467244707,Negative,3642,5286
2017-05-13 15:18:16.187381+00:00,-30.33,True,6300.71,A360A,48.7289,10.2971,2.113030525e-08,23.1502025889,28.2737155338,Negative,3533,4847
2017-07-10 16:31:25.414509+00:00,12.33,True,6327.15,A140A,47.5523,11.4361,9.38703562238e-09,23.0011031439,34.8736361396,Positive,4417,5145
2016-06-03 13:06:47.173905+00:00,2.69,True,6332.1,A361A,48.7909,10.8171,7.22750966826e-09,4.14762105322,30.0444832975,Positive,3977,5033
2016-05-23 14:34:18.347966+00:00,42.29,False,6340.42,A008A,48.3687,15.6522,3.99893888496e-08,18.4860411924,34.5208918765,Positive,4279,5569
2016-05-31 10:35:12.826852+00:00,-12.48,True,6344.0,A012A,47.604,15.586,4.76855758528e-08,19.0833613213,35.6184040466,Negative,3923,6231
2016-05-08 16:43:33.647067+00:00,5.67,True,6348.02,A027A,46.8159,14.0074,7.27366711712e-09,18.8164904884,30.731706015,Positive,4444,6179
